service_id,date,exception_type
20231117,20231117,1
20231027,20231027,1
20231110,20231110,1
20231029,20231029,1
20231111,20231111,1
20231028,20231028,1
20231114,20231114,1
20231030,20231030,1
20231112,20231112,1
20231031,20231031,1
20231119,20231119,1
20231101,20231101,1
20231116,20231116,1
20231102,20231102,1
20231103,20231103,1
20231121,20231121,1
20231104,20231104,1
20231105,20231105,1
20231106,20231106,1
20231107,20231107,1
20231108,20231108,1
20231109,20231109,1
20231113,20231113,1
20231115,20231115,1
20231118,20231118,1
20231120,20231120,1
20231122,20231122,1
20231123,20231123,1
20231201,20231201,1
20231130,20231130,1
20231129,20231129,1
20231128,20231128,1
20231127,20231127,1
20231126,20231126,1
20231125,20231125,1
20231124,20231124,1
